wl,S001,R001,S002,S003
377.404508,4072.142857,4072.142857,4072.142857,4072.142857
377.856756,4079.428571,4079.428571,4079.428571,4079.428571
378.308990,4110.000000,4110.000000,4110.000000,4110.000000
378.761211,4133.000000,4133.000000,4133.000000,4133.000000
379.213418,4161.000000,4161.000000,4161.000000,4161.000000
379.665611,4191.142857,4191.142857,4191.142857,4191.142857
380.117790,4218.428571,4218.428571,4218.428571,4218.428571
380.569955,4237.142857,4237.142857,4237.142857,4237.142857
381.022106,4283.142857,4283.142857,4283.142857,4283.142857
381.474244,4322.000000,4322.000000,4322.000000,4322.000000
381.926367,4353.571429,4353.571429,4353.571429,4353.571429
382.378476,4390.571429,4390.571429,4390.571429,4390.571429
382.830572,4431.857143,4431.857143,4431.857143,4431.857143
383.282653,4479.142857,4479.142857,4479.142857,4479.142857
383.734721,4524.571429,4524.571429,4524.571429,4524.571429
384.186775,4541.000000,4541.000000,4541.000000,4541.000000
384.638814,4565.428571,4565.428571,4565.428571,4565.428571
385.090840,4598.428571,4598.428571,4598.428571,4598.428571
385.542851,4626.428571,4626.428571,4626.428571,4626.428571
385.994849,4645.142857,4645.142857,4645.142857,4645.142857
386.446833,4659.714286,4659.714286,4659.714286,4659.714286
386.898802,4678.285714,4678.285714,4678.285714,4678.285714
387.350758,4717.000000,4717.000000,4717.000000,4717.000000
387.802699,4744.428571,4744.428571,4744.428571,4744.428571
388.254627,4773.142857,4773.142857,4773.142857,4773.142857
388.706540,4791.571429,4791.571429,4791.571429,4791.571429
389.158440,4807.714286,4807.714286,4807.714286,4807.714286
389.610325,4824.428571,4824.428571,4824.428571,4824.428571
390.062196,4840.714286,4840.714286,4840.714286,4840.714286
390.514053,4848.285714,4848.285714,4848.285714,4848.285714
390.965896,4849.571429,4849.571429,4849.571429,4849.571429
391.417725,4861.428571,4861.428571,4861.428571,4861.428571
391.869540,4879.142857,4879.142857,4879.142857,4879.142857
392.321340,4897.000000,4897.000000,4897.000000,4897.000000
392.773127,4910.857143,4910.857143,4910.857143,4910.857143
393.224899,4928.285714,4928.285714,4928.285714,4928.285714
393.676657,4939.285714,4939.285714,4939.285714,4939.285714
394.128401,4954.428571,4954.428571,4954.428571,4954.428571
394.580131,4968.714286,4968.714286,4968.714286,4968.714286
395.031847,4975.142857,4975.142857,4975.142857,4975.142857
395.483548,5003.571429,5003.571429,5003.571429,5003.571429
395.935235,5013.000000,5013.000000,5013.000000,5013.000000
396.386908,5028.857143,5028.857143,5028.857143,5028.857143
396.838567,5087.428571,5087.428571,5087.428571,5087.428571
397.290212,5153.714286,5153.714286,5153.714286,5153.714286
397.741842,5261.428571,5261.428571,5261.428571,5261.428571
398.193458,5461.285714,5461.285714,5461.285714,5461.285714
398.645060,5752.142857,5752.142857,5752.142857,5752.142857
399.096648,6210.285714,6210.285714,6210.285714,6210.285714
399.548221,6796.285714,6796.285714,6796.285714,6796.285714
399.999780,7568.142857,7568.142857,7568.142857,7568.142857
400.451325,8688.714286,8688.714286,8688.714286,8688.714286
400.902855,10327.000000,10327.000000,10327.000000,10327.000000
401.354372,12582.571429,12582.571429,12582.571429,12582.571429
401.805873,15361.857143,15361.857143,15361.857143,15361.857143
402.257361,18517.857143,18517.857143,18517.857143,18517.857143
402.708834,21813.285714,21813.285714,21813.285714,21813.285714
403.160293,24905.571429,24905.571429,24905.571429,24905.571429
