Wavelength (nm),Reference 1
533.0913116701983,1709.0
535.4401391068587,2576.0
537.7835861940061,6388.0
540.1216278137694,12924.0
542.4542390877282,18358.0
544.7813953789067,21310.0
547.1030722937704,21474.0
549.419245684219,17283.0
551.7298916495831,10144.0
554.0349865386181,4758.0
556.3345069515,2573.0
558.6284297418199,1812.0
560.9167320185793,1515.0
563.1993911481851,1467.0
565.4763847564442,1432.0
567.7476907305593,1660.0
570.013287221123,2604.0
572.2731526441139,3975.0
574.5272656828904,5215.0
576.7756052901866,5881.0
579.0181506901068,5854.0
581.2548813801213,5085.0
583.48577713306,3577.0
585.7108179991087,2218.0
587.9299843078041,1585.0
590.1432566700279,1296.0
592.3506159800025,1173.0
594.5520434172853,1111.0
596.7475204487653,1108.0
598.9370288306561,1215.0
601.1205506104924,1190.0
603.2980681291243,1157.0
605.4695640227125,1230.0
607.6350212247235,1222.0
609.7944229679241,1300.0
611.9477527863769,1347.0
614.0949945174355,1189.0
616.2361323037388,1152.0
618.3711505952064,1228.0
620.5000341510339,1263.0
622.622768041687,1360.0
624.739337650898,1354.0
626.8497286776596,1347.0
628.9539271382197,1358.0
631.051919368078,1138.0
633.1436920239792,1086.0
635.2292320859091,1085.0
637.3085268590892,1015.0
639.3815639759725,1092.0
641.4483313982367,1063.0
643.5088174187817,1027.0
645.5630106637224,1063.0
647.6109000943843,1066.0
649.6524750092999,1152.0
651.6877250462018,1132.0
653.716640184019,1046.0
655.7392107448712,1080.0
657.7554273960644,1080.0
659.765281152085,1138.0
661.768763376596,1201.0
663.7658657844311,1137.0
665.7565804435905,1103.0
667.7408997772347,1101.0
669.7188165656809,1159.0
671.690323948397,1168.0
673.6554154259973,1068.0
675.6140848622372,1073.0
677.5663264860079,1060.0
679.5121348933322,1009.0
681.4515050493587,1062.0
683.3844322903573,1066.0
685.3109123257138,1045.0
687.2309412399264,1125.0
689.1445154945978,1222.0
691.051631930433,1423.0
692.9522877692331,1662.0
694.8464806158903,1737.0
696.7342084603835,1887.0
698.6154696797719,1946.0
700.4902630401924,1842.0
702.3585876988519,1686.0
704.2204432060248,1394.0
706.075829507046,1277.0
707.9247469443072,1223.0
709.7671962592513,1097.0
711.6031785943676,1155.0
713.432695495187,1200.0
715.2557489122767,1128.0
717.0723412032355,1133.0
718.8824751346882,1085.0
720.6861538842818,1107.0
722.4833810426792,1133.0
724.2741606155553,1105.0
726.0584970255907,1279.0
