Wavelength (nm),Reference 1,Scan_ID 1,Scan_ID 2
434.90884553153813,18905.0,65534.0,65534.99999999899
437.44261838837156,28053.0,65534.0,65534.99999999966
439.97203411652185,31049.0,65534.0,65534.99999999988
442.4970671868639,29975.0,65534.0,65534.99999999996
445.0176920794193,20024.0,65534.0,65534.99999999999
447.5338832866456,9265.0,65535.0,63583.0
450.04561531672664,4871.0,59703.0,56217.666666666664
452.55286269686025,3125.0,49972.0,47181.22222222222
455.0555999765491,2367.0,43153.0,40892.07407407407
457.5538017308895,1950.0,38370.0,36563.02469135803
460.0474425638606,1887.0,35018.0,33513.674897119345
462.53649711161415,1842.0,32259.0,30903.55829903978
465.02094004576344,1752.0,29822.0,28583.852766346594
467.50074607667284,1682.0,27673.0,26411.284255448863
469.9758899567474,1578.0,25602.0,24207.761418482954
472.4463464837218,1570.0,23694.0,22314.920472827653
474.91209050394997,1565.0,22090.0,20737.306824275885
477.3730969156943,1506.0,20563.0,19150.10227475863
479.8293406724156,1515.0,19120.0,17719.034091586207
482.2807967860612,1470.0,17643.0,16314.011363862068
484.7274403303556,1467.0,16303.0,15144.337121287355
487.169246444089,1494.0,15366.0,14181.112373762451
489.60619033440724,1447.0,14778.0,13429.704124587484
492.03824728010085,1467.0,14939.0,13320.568041529163
494.4653926348941,1446.0,15311.0,13194.52268050972
496.8876018307352,1387.0,14937.0,12526.84089350324
499.30485038108486,1442.0,13842.0,11490.946964501081
501.7171138842062,1438.0,11965.0,10086.982321500362
504.12436802645357,1431.0,10356.0,8917.327440500121
506.5265885855625,1458.0,9555.0,8323.77581350004
508.9237514339388,1368.0,8969.0,7882.5919378333465
511.3158325419476,1338.0,8611.0,7584.530645944448
513.7028079812034,1364.0,8398.0,7341.176881981482
516.084653927859,1362.0,8289.0,7166.058960660494
518.4613466658947,1410.0,8434.0,7301.352986886832
520.8328625904079,1406.0,8925.0,7700.117662295611
523.1991782109025,1446.0,9602.0,8123.039220765204
525.5602701545787,1506.0,9990.0,8303.013073588401
527.916115169621,1490.0,10049.0,8397.337691196133
530.266690128489,1665.0,10407.0,8683.112563732044
532.611972031206,1787.0,11670.0,9629.037521244014
534.9519380086489,2125.0,15196.0,12472.345840414671
537.2865653258367,2964.0,22988.0,18342.78194680489
539.6158313852205,4650.0,40625.0,36596.260648934964
541.9397137299732,13415.0,57231.0,55888.753549644985
544.258190047278,24445.0,62767.0,62319.584516548326
546.5712381716181,29553.0,64612.0,64463.19483884944
548.8788360880665,31760.0,65227.0,65177.731612949814
551.1809619355746,25805.0,65432.0,65415.910537649936
553.4775940102625,14611.0,65500.0,65495.30351254998
555.768710768707,7730.0,65523.0,65521.767837516665
558.054290831233,4197.0,55544.0,52349.58927917222
560.3343129852,2520.0,36659.0,30831.863093057404
562.6087561882947,1966.0,22855.0,18365.621031019135
564.877599571818,1717.0,16124.0,12531.873677006379
567.1408224439749,1761.0,14104.0,10556.291225668792
569.3984042931651,1898.0,16514.0,11895.097075222931
571.6503247912701,2496.0,30534.0,21121.69902507431
573.8965637969449,4660.0,49813.0,41005.233008358104
576.1371013589054,7101.0,60294.0,57358.41100278604
578.3719177192194,8305.0,63788.0,62809.47033426201
580.6009933165951,8454.0,64952.0,64626.490111420666
582.8243087896698,7112.0,65340.0,65232.16337047355
585.041844980301,4776.0,65470.0,65434.05445682452
587.2535829368543,2981.0,65513.0,63314.01815227484
589.4595039174935,2108.0,51021.0,45335.33938409161
591.6595893934696,1737.0,28472.0,22713.779794697202
593.85382105241,1481.0,16798.0,13035.593264899066
596.0421808016089,1381.0,11619.0,8998.864421633021
598.2246507713152,1361.0,9064.0,7132.621473877673
600.401213318023,1282.0,7493.0,6053.873824625891
602.5718510277603,1330.0,6515.0,5367.957941541964
604.7365467193789,1301.0,5796.0,4854.985980513989
606.8952834478432,1298.0,5467.0,4633.32866017133
609.0480445075194,1465.0,5517.0,4720.109553390444
611.1948134354667,1487.0,5537.0,4851.036517796815
