Wavelength (nm),Reference 1,Scan_ID 1,Scan_ID 2,Scan_ID 3,Scan_ID 4,Scan_ID 5,Scan_ID 6,Scan_ID 7,Scan_ID 8,Scan_ID 9,Scan_ID 10,Scan_ID 11,Scan_ID 12,Scan_ID 13,Scan_ID 14,Scan_ID 15,Scan_ID 16,Scan_ID 17,Scan_ID 18,Scan_ID 19,Scan_ID 20,Scan_ID 21,Scan_ID 22,Scan_ID 23,Scan_ID 24,Scan_ID 25,Scan_ID 26
450.033947310761,63934.0,63803.0,63992.0,63876.0,63973.0,63854.0,63829.0,63872.0,63924.0,63864.0,63832.0,63972.0,63896.0,63780.0,29795.5,29213.5,28938.0,1.0,50592.5,49605.0,51059.0,22303.5,21481.0,22041.0,14778.5,14888.0,14840.0
452.5400735583523,63948.0,63903.0,63981.0,63881.0,63916.0,63883.0,63879.0,63908.0,63917.0,63956.0,63900.0,63995.0,63978.0,63840.0,29660.0,29137.5,29399.0,1.0,51261.0,50049.5,52032.5,22548.0,21592.5,22321.5,15118.0,15136.0,15024.5
455.04160513523505,63876.0,63812.0,63898.0,63839.0,63817.0,63761.0,63800.0,63943.0,63932.0,63901.0,63868.0,63923.0,63982.0,63851.0,29575.5,29403.5,29523.5,1.0,51413.5,50445.5,52429.0,22871.5,22028.5,22341.0,15008.5,15294.5,15177.5
457.5385119197244,63865.0,63766.0,63796.0,63813.0,63710.0,63729.0,63679.0,63873.0,63781.0,63705.0,63756.0,63824.0,63824.0,63747.0,30300.0,30122.5,29785.0,1.0,52496.0,51656.5,53614.5,23312.5,22752.0,22689.0,15468.0,15431.5,15645.0
460.0307636482544,63954.0,63874.0,63883.0,63828.0,63786.0,63833.0,63884.0,63953.0,63780.0,63785.0,63857.0,63852.0,63917.0,63838.0,30675.0,30554.0,30332.0,1.0,53131.0,51723.0,54025.0,23728.0,23199.5,23198.0,15841.0,15809.0,15909.5
462.51832991561764,63827.0,63846.0,63959.0,63865.0,63922.0,63826.0,63921.0,63935.0,63867.0,63858.0,63836.0,63907.0,63865.0,63908.0,30359.5,30257.0,30233.5,1.0,52773.5,51162.5,53346.5,23501.0,22848.5,23213.0,15469.5,15874.0,15903.5
465.0011801752056,63836.0,63887.0,63945.0,63935.0,63901.0,63880.0,63833.0,63855.0,63957.0,63884.0,63873.0,63934.0,63864.0,63904.0,29529.0,29503.5,29346.0,1.0,51424.0,50136.5,52165.5,23124.0,22160.0,22572.0,15111.0,15591.0,15480.5
467.4792837392483,64026.0,63948.0,64018.0,63887.0,63881.0,63903.0,63856.0,63803.0,63933.0,63996.0,63995.0,63964.0,63987.0,63924.0,28087.5,27875.5,27874.5,1.0,48603.5,47735.5,49553.0,22228.0,21469.0,21480.0,14778.5,15012.5,14818.5
469.9526097790544,63833.0,63711.0,63853.0,63727.0,63796.0,63711.0,63749.0,63718.0,63732.0,63823.0,63736.0,63436.0,63784.0,63377.0,26418.0,26297.0,26375.5,6.5,45954.0,45332.5,46839.5,20876.0,20357.5,20487.0,14031.0,14016.5,14266.5
472.42112732525146,63788.0,63764.0,63892.0,63751.0,63933.0,63733.0,63849.0,63904.0,63828.0,63780.0,63811.0,61701.5,63043.5,62492.5,25239.0,25481.5,25333.0,36.0,43996.5,43711.5,45073.5,20087.5,19415.5,19732.5,13387.0,13416.0,13829.0
474.8848052680257,63822.0,63821.0,63901.0,63835.0,63840.0,63768.0,63834.0,63928.0,63847.0,63805.0,63983.0,60143.0,61677.5,61403.0,24837.0,24922.0,24861.0,0.0,42770.0,42732.5,43957.0,19592.5,18977.0,19141.5,13003.5,13438.0,13223.0
477.34361235736174,63840.0,63732.0,63815.0,63832.0,63726.0,63797.0,63800.0,63813.0,63741.0,63829.0,63851.0,60764.5,62101.5,61923.5,25197.5,25224.0,25034.0,7.0,43427.5,42870.5,44108.5,19676.0,19147.0,19350.0,13136.0,13539.5,13174.5
479.7975172032836,64085.0,63996.0,64036.0,63934.0,63949.0,63984.0,64056.0,64035.0,63879.0,64007.0,63896.0,62858.0,63756.5,63614.0,26740.5,26750.5,26420.5,31.0,46256.0,45424.5,46570.5,20744.0,20291.5,20397.5,13845.5,14118.0,14072.5
482.24648827609315,63837.0,63930.0,63821.0,63832.0,63793.0,63755.0,63936.0,63848.0,63655.0,63754.0,63788.0,63845.0,63850.0,63850.0,28945.0,28872.0,28710.0,35.0,49988.5,49150.0,50902.0,22557.5,21996.0,21993.5,15111.0,15220.5,15366.0
484.6904939066116,63720.0,63823.0,63784.0,63893.0,63891.0,63743.0,63864.0,63735.0,63696.0,63591.0,63756.0,63872.0,63740.0,63760.0,30840.5,30589.0,30374.5,15.0,52733.0,51861.5,54069.5,24263.0,23314.5,23571.5,16488.5,16222.0,16518.0
487.12950228641853,63937.0,63996.0,64059.0,64119.0,64101.0,63991.0,64052.0,64007.0,64006.0,63801.0,63962.0,64101.0,63951.0,63900.0,31329.5,31103.5,30990.0,1.0,53629.5,52912.0,54536.5,24991.0,23870.0,24207.0,16965.0,16830.0,16782.5
489.56348146809233,63823.0,63816.0,63772.0,63905.0,63865.0,63823.0,63904.0,63857.0,63889.0,63757.0,63786.0,63968.0,63792.0,63796.0,29861.5,29612.0,29816.5,1.0,51151.5,50273.5,51843.5,23977.5,22874.0,23143.5,16203.5,16168.0,15987.0
491.9923993654502,63900.0,63788.0,63816.0,63834.0,63860.0,63916.0,63888.0,63857.0,63942.0,63850.0,63864.0,61913.0,62610.0,62950.0,26658.5,26365.5,26648.5,1.0,45474.5,44602.0,46647.0,21681.5,20480.5,20760.0,14672.0,14334.5,14475.5
494.4162237537878,63956.0,63899.0,63896.0,63871.0,63800.0,63903.0,63904.0,63859.0,63939.0,63866.0,63917.0,56214.0,57774.5,57960.5,23125.0,22908.0,23039.5,1.0,39715.0,38899.0,40795.5,18800.0,17894.0,18137.5,12728.5,12473.5,12712.5
496.8349222701196,63919.0,63799.0,63776.0,63826.0,63677.0,63756.0,63819.0,63807.0,63068.5,62824.5,62386.0,49284.5,50502.5,50507.0,20154.5,19966.5,20100.5,1.0,34892.5,33849.0,35469.0,16072.5,15459.0,15827.0,11025.0,10920.0,11005.0
