Wavelength (nm),Scan_ID 1,Scan_ID 2,Scan_ID 3,Scan_ID 4,Scan_ID 5,Scan_ID 6,Scan_ID 7
610.479406080755,48631.0,26904.0,17120.0,6480.0,11992.0,3807.0,1119.0
612.5906083285481,46429.0,25754.0,16358.0,6112.0,11479.0,3604.0,1068.0
614.6948172304199,44448.0,24588.0,15807.0,5690.0,11029.0,3484.0,1024.0
616.7919934379157,42814.0,23517.0,15196.0,5483.0,10588.0,3406.0,1020.0
618.8820974772601,41833.0,23015.0,14768.0,5239.0,10307.0,3317.0,949.0
620.9650897495959,41482.0,22924.0,14711.0,5126.0,10232.0,3192.0,962.0
623.0409305312252,41466.0,22858.0,14691.0,5234.0,10232.0,3112.0,992.0
625.1095799738484,41353.0,22661.0,14674.0,5068.0,10136.0,3242.0,1013.0
627.1709981048044,40817.0,22528.0,14544.0,5102.0,10031.0,3220.0,958.0
629.2251448273114,40050.0,22260.0,14343.0,5072.0,9885.0,3105.0,870.0
631.2719799207059,39172.0,21667.0,14000.0,4647.0,9642.0,3053.0,879.0
633.3114630406833,37972.0,20974.0,13448.0,4612.0,9274.0,2936.0,942.0
635.3435537195373,36658.0,20293.0,13030.0,4373.0,8898.0,2831.0,963.0
637.3682113664008,35318.0,19596.0,12660.0,3934.0,8622.0,2740.0,858.0
639.3853952674851,34129.0,18934.0,12237.0,3797.0,8380.0,2676.0,838.0
641.3950645863205,33018.0,18237.0,11802.0,3461.0,8192.0,2529.0,812.0
643.3971783639955,32007.0,17681.0,11436.0,3292.0,7981.0,2413.0,788.0
645.3916955193977,31308.0,17214.0,11100.0,3177.0,7773.0,2466.0,801.0
647.3785748494533,30780.0,16858.0,10774.0,2945.0,7637.0,2421.0,733.0
649.3577750293674,30404.0,16774.0,10715.0,3028.0,7561.0,2394.0,773.0
651.3292546128632,30170.0,16690.0,10745.0,2954.0,7519.0,2441.0,783.0
653.2929720324233,30062.0,16521.0,10634.0,2944.0,7439.0,2405.0,711.0
655.2488855995288,29917.0,16380.0,10491.0,3020.0,7370.0,2371.0,716.0
657.196953504899,29435.0,16136.0,10392.0,2800.0,7298.0,2317.0,732.0
659.1371338187328,28853.0,15908.0,10260.0,2735.0,7128.0,2257.0,744.0
661.0693844909471,28087.0,15617.0,10006.0,2540.0,6913.0,2214.0,681.0
662.9936633514176,27157.0,15014.0,9724.0,2253.0,6684.0,2131.0,639.0
664.9099281102187,26343.0,14496.0,9356.0,2203.0,6456.0,2061.0,649.0
666.818136357864,25473.0,13960.0,8969.0,2046.0,6210.0,2052.0,583.0
668.7182455655453,24716.0,13550.0,8717.0,1942.0,6085.0,2015.0,549.0
670.610213085373,24349.0,13378.0,8582.0,1838.0,6006.0,1902.0,598.0
672.4939961506166,24206.0,13277.0,8488.0,1616.0,5898.0,1930.0,640.0
674.369551875944,23804.0,13012.0,8327.0,1585.0,5881.0,1967.0,605.0
676.2368372576622,23373.0,12715.0,8208.0,1554.0,5851.0,1902.0,591.0
678.0958091739562,23074.0,12521.0,8114.0,1408.0,5722.0,1842.0,587.0
679.9464243851306,22453.0,12219.0,7954.0,1343.0,5595.0,1815.0,604.0
681.7886395338479,21741.0,11901.0,7774.0,1257.0,5465.0,1725.0,610.0
683.6224111453695,20999.0,11484.0,7440.0,1110.0,5271.0,1642.0,549.0
685.4476956277961,20264.0,11145.0,7153.0,1000.0,5090.0,1661.0,559.0
687.2644492723065,19765.0,10919.0,7076.0,733.0,5018.0,1585.0,550.0
689.0726282533979,19411.0,10657.0,6925.0,722.0,4914.0,1548.0,489.0
690.8721886291272,19213.0,10614.0,6718.0,759.0,4753.0,1579.0,476.0
692.663086341349,19151.0,10615.0,6748.0,603.0,4701.0,1517.0,459.0
694.4452772159573,19214.0,10451.0,6827.0,649.0,4775.0,1515.0,431.0
696.2187169631246,18992.0,10318.0,6695.0,538.0,4778.0,1448.0,495.0
697.9833611775417,18515.0,10223.0,6513.0,407.0,4639.0,1311.0,497.0
699.7391653386587,17899.0,9896.0,6310.0,447.0,4428.0,1340.0,447.0
701.4860848109244,17092.0,9434.0,6021.0,221.0,4221.0,1369.0,434.0
703.2240748440254,16461.0,8956.0,5787.0,1.0,4066.0,1287.0,421.0
704.9530905731282,15933.0,8596.0,5638.0,1.0,3966.0,1214.0,417.0
706.6730870191171,15354.0,8427.0,5429.0,1.0,3843.0,1189.0,425.0
708.3840190888359,14859.0,8289.0,5278.0,1.0,3756.0,1159.0,334.0
710.0858415753262,14572.0,8043.0,5154.0,1.0,3666.0,1132.0,243.0
711.7785091580688,14293.0,7753.0,5013.0,1.0,3513.0,1099.0,247.0
713.4619764032235,13828.0,7516.0,4853.0,1.0,3460.0,1105.0,321.0
715.1361977638682,13358.0,7292.0,4714.0,1.0,3385.0,1035.0,339.0
716.8011275802396,12931.0,7064.0,4581.0,1.0,3231.0,1011.0,258.0
718.4567200799737,12610.0,6835.0,4394.0,1.0,3140.0,1009.0,323.0
720.1029293783442,12356.0,6703.0,4288.0,1.0,3042.0,964.0,379.0
721.7397094785047,12132.0,6675.0,4205.0,1.0,3068.0,1011.0,281.0
723.3670142717265,12008.0,6750.0,4164.0,1.0,3189.0,1031.0,259.0
724.9847975376399,11831.0,6617.0,4109.0,1.0,3069.0,1032.0,290.0
726.5930129444743,11722.0,6406.0,4010.0,1.0,2962.0,1004.0,319.0
728.1916140492972,11519.0,6295.0,3917.0,1.0,2885.0,918.0,332.0
729.7805542982551,11094.0,6150.0,3831.0,1.0,2807.0,928.0,363.0
731.3597870268131,10757.0,5929.0,3801.0,1.0,2780.0,935.0,371.0
732.9292654599955,10589.0,5834.0,3704.0,1.0,2684.0,909.0,271.0
734.4889427126244,10273.0,5659.0,3634.0,1.0,2573.0,847.0,198.0
736.0387717895612,9928.0,5378.0,3535.0,1.0,2463.0,761.0,126.0
737.5787055859462,9734.0,5284.0,3409.0,1.0,2398.0,729.0,102.0
739.1086968874375,9543.0,5264.0,3306.0,1.0,2310.0,735.0,189.0
740.628698370453,9332.0,5133.0,3248.0,1.0,2240.0,756.0,268.0
742.1386626024085,9204.0,4999.0,3285.0,1.0,2298.0,692.0,221.0
743.638542041959,9014.0,4914.0,3163.0,1.0,2231.0,674.0,201.0
745.1282890392379,8777.0,4876.0,3040.0,1.0,2196.0,656.0,178.0
746.6078558360972,8660.0,4874.0,3039.0,1.0,2214.0,597.0,140.0
748.0771945663481,8536.0,4699.0,3031.0,1.0,2172.0,615.0,230.0
749.536257256,8549.0,4593.0,2970.0,1.0,2168.0,633.0,252.0
750.9849958235013,8531.0,4639.0,2951.0,1.0,2121.0,602.0,229.0
752.4233620799789,8445.0,4675.0,2940.0,1.0,2107.0,657.0,262.0
753.8513077294785,8303.0,4532.0,2856.0,1.0,2105.0,695.0,278.0
755.2687843692048,8068.0,4411.0,2797.0,1.0,2092.0,586.0,216.0
756.6757434897606,7852.0,4305.0,2760.0,1.0,2071.0,589.0,153.0
758.0721364753877,7566.0,4114.0,2652.0,1.0,1958.0,703.0,146.0
759.4579146042066,7264.0,3939.0,2523.0,1.0,1796.0,649.0,136.0
760.8330290484566,6959.0,3777.0,2433.0,1.0,1791.0,600.0,155.0
762.1974308747357,6641.0,3614.0,2327.0,1.0,1775.0,598.0,179.0
763.5510710442404,6313.0,3435.0,2215.0,1.0,1545.0,479.0,180.0
764.8939004130059,6112.0,3355.0,2178.0,1.0,1392.0,462.0,201.0
766.2258697321464,5952.0,3296.0,2107.0,1.0,1380.0,466.0,149.0
767.5469296480946,5816.0,3204.0,2047.0,1.0,1347.0,439.0,109.0
768.8570307028418,5682.0,3110.0,1995.0,1.0,1336.0,431.0,152.0
770.1561233341782,5458.0,3012.0,1908.0,1.0,1365.0,428.0,110.0
771.4441578759328,5346.0,2964.0,1827.0,1.0,1330.0,486.0,120.0
772.7210845582126,5243.0,2890.0,1813.0,1.0,1315.0,493.0,217.0
773.9868535076445,5200.0,2841.0,1809.0,1.0,1318.0,415.0,198.0
775.2414147476129,5080.0,2835.0,1752.0,1.0,1244.0,324.0,90.0
776.4847181985016,4884.0,2767.0,1754.0,1.0,1205.0,312.0,91.0
777.716713677933,4842.0,2726.0,1766.0,1.0,1258.0,361.0,143.0
778.937350901008,4796.0,2652.0,1731.0,1.0,1245.0,462.0,118.0
780.1465794805465,4700.0,2658.0,1625.0,1.0,1167.0,450.0,120.0
781.3443489273269,4618.0,2599.0,1565.0,1.0,1160.0,322.0,144.0
782.5306086503261,4510.0,2470.0,1610.0,1.0,1206.0,285.0,134.0
783.7053079569602,4425.0,2502.0,1675.0,1.0,1227.0,319.0,85.0
784.8683960533237,4449.0,2503.0,1580.0,1.0,1140.0,294.0,56.0
786.0198220444298,4410.0,2451.0,1463.0,1.0,1116.0,292.0,1.0
787.1595349344504,4249.0,2289.0,1488.0,1.0,1134.0,296.0,1.0
788.2874836269561,4180.0,2290.0,1531.0,1.0,1091.0,310.0,121.0
789.4036169251566,4193.0,2353.0,1473.0,1.0,1049.0,337.0,173.0
790.5078835321397,4169.0,2219.0,1397.0,1.0,958.0,256.0,184.0
791.6002320511119,4172.0,2132.0,1355.0,1.0,963.0,249.0,86.0
792.680610985639,4209.0,2180.0,1399.0,1.0,1066.0,318.0,27.0
793.748968739885,4317.0,2339.0,1432.0,1.0,1097.0,357.0,26.0
794.8052536188527,4731.0,2508.0,1511.0,1.0,1189.0,430.0,18.0
795.8494138286239,5308.0,2785.0,1709.0,1.0,1299.0,487.0,101.0
796.8813974765987,5849.0,3093.0,1864.0,1.0,1452.0,478.0,89.0
797.901152571736,6378.0,3326.0,1968.0,1.0,1633.0,530.0,122.0
798.9086270247935,6636.0,3703.0,2139.0,1.0,1723.0,563.0,207.0
799.9037686485676,6999.0,3957.0,2318.0,1.0,1789.0,566.0,152.0
800.8865251581337,7389.0,4013.0,2450.0,1.0,1816.0,584.0,176.0
801.8568441710848,7580.0,4195.0,2553.0,1.0,1864.0,578.0,257.0
802.8146732077739,7613.0,4259.0,2528.0,1.0,1837.0,552.0,248.0
803.7599596915521,7348.0,4134.0,2503.0,1.0,1760.0,542.0,191.0
804.6926509490091,7079.0,3961.0,2474.0,1.0,1740.0,590.0,125.0
805.6126942102138,6731.0,3747.0,2369.0,1.0,1727.0,564.0,151.0
806.5200366089531,6163.0,3396.0,2173.0,1.0,1591.0,472.0,189.0
807.4146251829733,5389.0,2942.0,1894.0,1.0,1401.0,495.0,217.0
808.2964068742189,4780.0,2618.0,1679.0,1.0,1263.0,414.0,198.0
809.1653285290731,4450.0,2438.0,1588.0,1.0,1138.0,370.0,162.0
810.0213368985985,4023.0,2228.0,1422.0,1.0,1032.0,358.0,96.0
810.8643786387753,3589.0,2038.0,1276.0,1.0,899.0,216.0,61.0
811.6944003107434,3301.0,1860.0,1236.0,1.0,828.0,226.0,183.0
812.5113483810409,3040.0,1707.0,1164.0,1.0,806.0,223.0,114.0
813.3151692218445,2879.0,1613.0,1087.0,1.0,698.0,167.0,60.0
814.1058091112099,2649.0,1473.0,932.0,1.0,640.0,122.0,147.0
814.8832142333115,2346.0,1355.0,801.0,1.0,656.0,107.0,141.0
815.6473306786821,2215.0,1262.0,752.0,1.0,596.0,135.0,60.0
816.3981044444536,2118.0,1174.0,715.0,1.0,526.0,156.0,59.0
817.1354814345963,1992.0,1126.0,641.0,1.0,485.0,190.0,76.0
817.8594074601592,1848.0,1050.0,580.0,1.0,470.0,190.0,44.0
818.5698282395102,1858.0,942.0,589.0,1.0,467.0,136.0,1.0
819.2666893985759,1777.0,892.0,573.0,1.0,477.0,122.0,51.0
819.9499364710814,1627.0,890.0,552.0,1.0,498.0,136.0,88.0
820.6195148987904,1612.0,843.0,575.0,1.0,416.0,144.0,1.0
821.2753700317458,1482.0,882.0,602.0,1.0,371.0,103.0,1.0
821.9174471285088,1396.0,896.0,619.0,1.0,381.0,141.0,9.0
822.5456913563995,1447.0,797.0,621.0,1.0,395.0,226.0,74.0
823.1600477917364,1499.0,796.0,517.0,1.0,411.0,221.0,58.0
823.760461420077,1531.0,813.0,444.0,1.0,371.0,80.0,56.0
824.3468771364576,1499.0,888.0,453.0,1.0,338.0,1.0,39.0
824.9192397456327,1475.0,895.0,435.0,1.0,385.0,83.0,65.0
825.4774939623161,1552.0,839.0,454.0,1.0,372.0,145.0,56.0
826.02158441142,1598.0,849.0,471.0,1.0,380.0,129.0,66.0
826.5514556282951,1590.0,867.0,505.0,1.0,456.0,82.0,56.0
827.0670520589711,1550.0,845.0,520.0,1.0,488.0,33.0,1.0
827.5683180603965,1553.0,887.0,515.0,1.0,506.0,72.0,1.0
828.055197900678,1780.0,983.0,578.0,1.0,508.0,61.0,1.0
828.5276357593215,2093.0,1094.0,652.0,1.0,598.0,104.0,25.0
828.9855757274715,2359.0,1326.0,718.0,1.0,686.0,169.0,27.0
829.4289618081514,2612.0,1478.0,753.0,1.0,680.0,186.0,16.0
829.8577379165023,2698.0,1496.0,767.0,1.0,661.0,215.0,87.0
830.2718478800255,2790.0,1512.0,746.0,1.0,706.0,223.0,68.0
830.6712354388195,2894.0,1608.0,829.0,1.0,724.0,122.0,42.0
831.0558442458226,2890.0,1690.0,941.0,1.0,701.0,182.0,1.0
831.4256178670518,2899.0,1693.0,942.0,1.0,706.0,356.0,1.0
831.7804997818419,2872.0,1598.0,979.0,1.0,809.0,298.0,1.0
