wl,S001,S002
483.731836,59881.142857,59881.142857
484.180570,60447.857143,60447.857143
484.629288,60613.142857,60613.142857
485.077990,60607.285714,60607.285714
485.526676,60405.857143,60405.857143
485.975346,60184.857143,60184.857143
486.424001,59943.285714,59943.285714
486.872639,59558.857143,59558.857143
487.321261,59293.000000,59293.000000
487.769868,59100.857143,59100.857143
488.218458,58926.428571,58926.428571
488.667032,58634.000000,58634.000000
489.115590,58521.000000,58521.000000
489.564133,57935.000000,57935.000000
490.012659,57407.714286,57407.714286
490.461169,56867.142857,56867.142857
490.909663,56475.142857,56475.142857
491.358141,55723.428571,55723.428571
491.806603,55181.714286,55181.714286
492.255049,54476.000000,54476.000000
492.703479,53647.714286,53647.714286
493.151892,52726.857143,52726.857143
493.600290,51966.428571,51966.428571
494.048671,50960.142857,50960.142857
494.497037,50430.000000,50430.000000
494.945386,49573.285714,49573.285714
495.393719,48598.571429,48598.571429
495.842036,48187.428571,48187.428571
496.290337,47806.285714,47806.285714
496.738621,46923.857143,46923.857143
497.186889,46388.142857,46388.142857
497.635142,45578.428571,45578.428571
498.083378,45179.285714,45179.285714
498.531597,44811.857143,44811.857143
498.979801,44001.000000,44001.000000
499.427988,43473.714286,43473.714286
499.876159,43022.857143,43022.857143
500.324314,42238.428571,42238.428571
500.772453,41799.000000,41799.000000
501.220575,40904.000000,40904.000000
501.668681,40108.571429,40108.571429
502.116771,39864.857143,39864.857143
502.564844,39159.714286,39159.714286
503.012902,38977.142857,38977.142857
503.460942,39043.000000,39043.000000
503.908967,38564.142857,38564.142857
504.356975,38312.857143,38312.857143
504.804967,38496.857143,38496.857143
505.252943,38354.428571,38354.428571
505.700902,38458.571429,38458.571429
506.148845,38299.285714,38299.285714
506.596771,38020.428571,38020.428571
507.044682,38188.142857,38188.142857
507.492575,38631.571429,38631.571429
507.940453,38571.714286,38571.714286
508.388314,38496.571429,38496.571429
508.836158,38695.714286,38695.714286
509.283986,38871.857143,38871.857143
509.731798,38995.285714,38995.285714
510.179593,38899.428571,38899.428571
510.627372,38799.285714,38799.285714
511.075135,38887.142857,38887.142857
511.522880,38842.714286,38842.714286
511.970610,38725.285714,38725.285714
512.418323,38830.571429,38830.571429
512.866019,38748.000000,38748.000000
513.313699,38797.000000,38797.000000
513.761363,38956.714286,38956.714286
514.209010,38813.428571,38813.428571
514.656640,39190.714286,39190.714286
515.104254,39302.285714,39302.285714
515.551851,39416.000000,39416.000000
515.999432,39734.142857,39734.142857
516.446996,40213.142857,40213.142857
516.894544,40374.428571,40374.428571
517.342075,40888.285714,40888.285714
517.789590,41047.000000,41047.000000
518.237088,41104.428571,41104.428571
518.684569,41236.428571,41236.428571
519.132034,41222.428571,41222.428571
519.579482,41297.571429,41297.571429
520.026913,41500.285714,41500.285714
520.474328,41291.428571,41291.428571
520.921726,41484.142857,41484.142857
521.369108,41790.142857,41790.142857
521.816472,41908.857143,41908.857143
522.263821,42206.285714,42206.285714
522.711152,42461.285714,42461.285714
523.158467,42706.285714,42706.285714
523.605765,43355.857143,43355.857143
524.053046,43675.428571,43675.428571
524.500311,44226.285714,44226.285714
524.947559,45025.000000,45025.000000
525.394790,45743.428571,45743.428571
525.842005,46131.714286,46131.714286
526.289202,46534.000000,46534.000000
526.736383,47260.142857,47260.142857
527.183547,47780.428571,47780.428571
527.630695,48385.571429,48385.571429
528.077825,48493.714286,48493.714286
528.524939,48886.428571,48886.428571
528.972036,49112.571429,49112.571429
529.419116,49254.857143,49254.857143
529.866180,49052.428571,49052.428571
530.313226,48934.714286,48934.714286
530.760256,48698.571429,48698.571429
531.207269,48617.000000,48617.000000
531.654265,48266.857143,48266.857143
532.101244,48009.857143,48009.857143
532.548206,47881.142857,47881.142857
532.995151,47778.857143,47778.857143
533.442080,47440.428571,47440.428571
533.888991,47048.714286,47048.714286
534.335886,46718.571429,46718.571429
534.782764,46390.000000,46390.000000
535.229624,46068.857143,46068.857143
535.676468,45764.857143,45764.857143
536.123295,45589.571429,45589.571429
536.570105,45367.571429,45367.571429
537.016898,45329.571429,45329.571429
537.463674,45430.714286,45430.714286
537.910433,45276.142857,45276.142857
538.357175,45524.000000,45524.000000
538.803900,45768.142857,45768.142857
539.250608,45697.142857,45697.142857
539.697299,46121.142857,46121.142857
540.143973,46454.428571,46454.428571
540.590630,46577.714286,46577.714286
541.037270,46912.571429,46912.571429
541.483893,46870.714286,46870.714286
541.930498,46666.142857,46666.142857
542.377087,46238.428571,46238.428571
542.823659,45659.714286,45659.714286
543.270213,45038.571429,45038.571429
543.716751,44337.000000,44337.000000
544.163271,43683.714286,43683.714286
544.609774,43144.142857,43144.142857
545.056260,42577.857143,42577.857143
545.502729,42314.285714,42314.285714
545.949181,41956.714286,41956.714286
546.395616,41403.571429,41403.571429
546.842033,41015.285714,41015.285714
547.288434,40486.000000,40486.000000
547.734817,39848.857143,39848.857143
548.181183,39179.000000,39179.000000
548.627532,38352.000000,38352.000000
549.073863,37752.142857,37752.142857
