Wavelength (nm),Reference 1,Scan_ID 1
583.8358934733184,17252.0,11502.0
586.0608558168364,16977.0,11393.0
588.2799695578843,16955.0,11464.0
590.4932162054737,17202.0,11678.0
592.7005775271614,17235.0,11876.0
594.9020355509703,17321.0,12020.0
597.0975725673088,17769.0,12165.0
599.2871711308907,17449.0,12140.0
601.470814062655,17716.0,12265.0
603.648484451685,17910.0,12314.0
605.8201656571298,17663.0,12250.0
607.9858413101218,17579.0,12102.0
610.1454953156981,17244.0,11815.0
612.2991118547196,16654.0,11283.0
614.446675385791,15964.0,10902.0
616.5881706471805,15482.0,10650.0
618.7235826587395,15205.0,10291.0
620.8528967238225,15178.0,10144.0
622.9760984312065,15012.0,10069.0
625.0931736570116,15250.0,10239.0
627.2041085666199,15192.0,10246.0
629.3088896165951,15095.0,10196.0
631.4075035566036,14866.0,9942.0
633.4999374313334,14603.0,9738.0
635.5861785824133,14039.0,9205.0
637.6662146503332,13442.0,8969.0
639.7400335763648,13123.0,8842.0
641.8076236044799,12903.0,8407.0
643.8689732832705,12557.0,8366.0
645.9240714678695,12289.0,8356.0
647.9729073218692,11975.0,7728.0
650.0154703192424,11855.0,7783.0
652.0517502462606,12058.0,7813.0
654.0817372034151,11892.0,7668.0
656.1054216073361,11747.0,7658.0
658.1227941927128,11748.0,7549.0
660.1338460142128,11392.0,7480.0
662.1385684484026,11124.0,7249.0
664.1369531956658,10902.0,7053.0
666.128992282125,10625.0,6802.0
668.11467806156,10374.0,6723.0
670.0940032173277,10061.0,6441.0
672.0669607642828,10071.0,6503.0
674.0335440506971,9836.0,6306.0
675.9937467601784,9615.0,6224.0
677.9475629135915,9540.0,6282.0
679.8949868709778,9400.0,6109.0
681.8360133334739,9302.0,5977.0
683.7706373452328,8999.0,5761.0
685.6988542953435,8979.0,5595.0
687.620659919749,8500.0,5317.0
689.5360503031688,8425.0,5316.0
691.4450218810166,8133.0,5104.0
693.3475714413213,8207.0,4963.0
695.2436961266453,8136.0,5017.0
697.1333934360059,7986.0,5002.0
699.0166612267947,8077.0,5059.0
700.893497716696,8056.0,4938.0
702.7639014856082,7909.0,4785.0
704.6278714775632,7529.0,4667.0
706.4854070026453,7219.0,4353.0
708.3365077389121,6940.0,4230.0
710.1811737343137,6694.0,4301.0
712.0194054086124,6480.0,4075.0
713.8512035553027,6312.0,4049.0
715.6765693435308,6191.0,3874.0
717.4955043200149,6258.0,3697.0
719.3080104109642,6129.0,3637.0
721.1140899239992,5761.0,3644.0
722.9137455500717,5630.0,3429.0
724.7069803653836,5533.0,3243.0
726.4937978333078,5419.0,3354.0
728.2742018063071,5320.0,3224.0
730.0481965278548,5372.0,3190.0
731.8157866343531,5345.0,3171.0
733.5769771570547,5194.0,3192.0
735.3317735239812,5209.0,3111.0
737.0801815618431,4911.0,3067.0
738.8222074979602,4770.0,2835.0
740.5578579621804,4760.0,2735.0
742.2871399888004,4542.0,2689.0
744.0100610184851,4445.0,2698.0
745.7266289001868,4399.0,2707.0
747.4368518930661,4351.0,2634.0
749.1407386684108,4440.0,2394.0
750.8382983115558,4199.0,2542.0
752.5295403238031,4019.0,2536.0
754.2144746243417,3977.0,2500.0
755.8931115521667,4130.0,2326.0
757.565461868,3994.0,2375.0
759.231536756209,4143.0,2419.0
760.8913478267274,3992.0,2443.0
762.5449071169743,3884.0,2121.0
764.1922270937741,3849.0,2213.0
765.8333206552765,3830.0,2237.0
767.4682011328761,3631.0,2173.0
769.0968822931318,3401.0,2100.0
770.7193783396879,3358.0,1980.0
772.3357039151919,3171.0,2014.0
773.9458741032153,3020.0,1757.0
775.5499044301743,2955.0,1654.0
777.1478108672476,2814.0,1854.0
778.7396098322978,2786.0,1633.0
780.3253181917901,2700.0,1426.0
781.904953262713,2599.0,1538.0
783.4785328144973,2649.0,1447.0
785.0460750709358,2459.0,1506.0
786.6075987121044,2505.0,1267.0
788.1631228762799,2595.0,1395.0
789.7126671618611,2544.0,1374.0
791.2562516292885,2387.0,1509.0
